time	type	subtype	content
122.629	event	input	C1_out
124.428	event	input	B2_in
124.436	state		wait_choice
124.494	event	input	B2_out
124.936	event	timer	init_cue_timer
125.424	event	input	C1_in
125.428	state		hold_poke
125.627	event	timer	poke_hold_timer
125.627	state		poked_in
125.628	variable	print	{"num_t": 18, "num_t_in_block": 27, "num_blocks": 1, "curr_block_len": 31, "chosen_tow": "C1", "chosen_rank": "best", "num_long_pokes": 0, "long_pokes": [], "stream_state": [2, 0], "stream_hold": [2, 11], "inactive_arm": "B1", "arm_to_stream": {"C1": 0, "A1": 1}, "num_rew_pulses": 3, "curr_rew_mag": {"B1": 0, "A1": 1, "C1": 3}, "c_tows": ["A1", "B1", "C1"], "choice_counts": {"B1": 2, "A1": 0, "C1": 16}, "rank_counts": {"best": 16, "second": 0, "third": 2}, "tot_rew_amt": 124}
125.635	state		choice
125.937	event	timer	pulse_off_timer
125.990	event	timer	pulse_on_timer
126.294	event	timer	pulse_off_timer
126.347	event	timer	pulse_on_timer
126.651	event	timer	pulse_off_timer
126.704	event	timer	pulse_on_timer
126.709	state		ITI
127.548	event	sync	rsync
127.709	state		wait_init
128.500	event	sync	rsync
128.924	event	input	C1_out
130.098	event	input	B2_in
130.106	state		wait_choice
130.135	event	input	B2_out
130.606	event	timer	init_cue_timer
131.057	event	input	C1_in
131.060	state		hold_poke
131.195	event	sync	rsync
131.260	event	timer	poke_hold_timer
131.260	state		poked_in
131.261	variable	print	{"num_t": 19, "num_t_in_block": 28, "num_blocks": 1, "curr_block_len": 31, "chosen_tow": "C1", "chosen_rank": "best", "num_long_pokes": 0, "long_pokes": [], "stream_state": [2, 0], "stream_hold": [3, 12], "inactive_arm": "B1", "arm_to_stream": {"C1": 0, "A1": 1}, "num_rew_pulses": 3, "curr_rew_mag": {"B1": 0, "A1": 1, "C1": 3}, "c_tows": ["A1", "B1", "C1"], "choice_counts": {"B1": 2, "A1": 0, "C1": 17}, "rank_counts": {"best": 17, "second": 0, "third": 2}, "tot_rew_amt": 130}
131.268	state		choice
131.570	event	timer	pulse_off_timer
131.623	event	timer	pulse_on_timer
131.927	event	timer	pulse_off_timer
131.980	event	timer	pulse_on_timer
132.284	event	timer	pulse_off_timer
132.337	event	timer	pulse_on_timer
132.341	state		ITI
133.342	state		wait_init
134.296	event	input	C1_out
135.215	event	sync	rsync
136.422	event	input	B2_in
136.430	state		wait_choice
136.468	event	input	B2_out
136.930	event	timer	init_cue_timer
137.337	event	input	C1_in
137.340	state		hold_poke
137.540	event	timer	poke_hold_timer
137.540	state		poked_in
137.541	variable	print	{"num_t": 20, "num_t_in_block": 29, "num_blocks": 1, "curr_block_len": 31, "chosen_tow": "C1", "chosen_rank": "best", "num_long_pokes": 0, "long_pokes": [], "stream_state": [2, 1], "stream_hold": [4, 1], "inactive_arm": "B1", "arm_to_stream": {"C1": 0, "A1": 1}, "num_rew_pulses": 3, "curr_rew_mag": {"B1": 0, "A1": 2, "C1": 3}, "c_tows": ["A1", "B1", "C1"], "choice_counts": {"B1": 2, "A1": 0, "C1": 18}, "rank_counts": {"best": 18, "second": 0, "third": 2}, "tot_rew_amt": 136}
137.548	state		choice
137.850	event	timer	pulse_off_timer
137.903	event	timer	pulse_on_timer
138.207	event	timer	pulse_off_timer
138.260	event	timer	pulse_on_timer
